100003164,Magic Bites (Kate Daniels  #1),Ilona Andrews,1,261,2007,9676,,10
100003165,Galactic Effectuator,Jack Vance,1,219,1981,9676,279,6
100003166,The Green Pearl (Lyonesse  #2),Jack Vance,1,407,1987,9676,4,12
100003167,The Outlaws of Sherwood,Robin McKinley,1,368,2005,9676,,18
100003168,The Hero and the Crown (Damar  #2),Robin McKinley,1,227,1985,9676,,6
100003169,The Once and Future King (The Once and Future King  #1-4),T.H. White,1,639,1987,9676,703,19
100003170,Starship Troopers,Robert A. Heinlein,1,335,1987,9677,,8
100003171,God Emperor of Dune (Dune Chronicles  #4),Frank Herbert,1,423,1987,9678,,12
100003172,Chapterhouse: Dune (Dune Chronicles #6),Frank Herbert,1,436,1987,9678,,14
100003173,Dune Messiah (Dune Chronicles #2),Frank Herbert,1,331,1987,9678,95,8
100003174,Heretics of Dune (Dune Chronicles #5),Frank Herbert,1,471,1987,9678,280,23
100003175,To Sail Beyond the Sunset,Robert A. Heinlein,1,434,1988,9678,,10
100003176,Deerskin,Robin McKinley,1,384,2005,9678,,17
100003177,The Other Wind (Earthsea Cycle  #6),Ursula K. Le Guin/Samuel Roukin,1,211,2003,9678,,5
100003178,Vision of Tarot (Tarot  #2),Piers Anthony,1,260,1987,9678,467,9
100003179,Unicorn Point (Apprentice Adept #6),Piers Anthony,1,337,1990,9678,,10
100003180,Dayworld (Dayworld #1),Philip José Farmer,1,258,1986,9678,119,7
100003181,The Cat Who Walks Through Walls (The World As Myth),Robert A. Heinlein,1,388,1988,9678,425,9
100003182,Accelerando,Charles Stross,1,415,2006,9678,229,9
100003183,Glasshouse,Charles Stross,1,335,2006,9678,374,15
100003184,Harrowing the Dragon,Patricia A. McKillip,1,308,2006,9678,724,8
100003185,Cygnet (Cygnet  #1-2),Patricia A. McKillip,1,406,2007,9678,396,9
100003186,Solstice Wood (Winter Rose  #2),Patricia A. McKillip,1,278,2007,9678,,7
100003187,Od Magic,Patricia A. McKillip,1,315,2006,9678,,9
100003188,A Separate War and Other Stories,Joe Haldeman/Connie Willis,1,270,2006,9678,,10
100003189,Forever Peace (The Forever War  #2),Joe Haldeman,1,351,1998,9678,,14
100003190,Count Zero (Sprawl  #2),William Gibson,1,308,2006,9678,49,8
100003191,The God in the Moon (Age of Conan: Hyborian Adventures: A Soldier's Quest  #1),Richard A. Knaak,1,297,2006,9678,659,11
100003192,Elric of Melniboné (The Elric Saga  #1),Michael Moorcock,1,181,1987,9678,58,5
100003193,Masterpieces: The Best Science Fiction of the Twentieth Century,Orson Scott Card/Isaac Asimov/William Gibson/Michael Swanwick/Theodore Sturgeon/Larry Niven/Robert Silverberg/Harry Turtledove/James Blish/George R.R. Martin/James Patrick Kelly/Karen Joy Fowler/Arthur C. Clarke/Lloyd Biggle Jr./Terry Bisson/Poul Anderson/John Kessel/R.A. Lafferty/C.J. Cherryh/Lisa Goldstein/Edmond Hamilton/Robert A. Heinlein/Ursula K. Le Guin/Ray Bradbury/Frederik Pohl/Harlan Ellison/George Alec Effinger/Brian W. Aldiss,1,422,2004,9678,42,21
100003194,Madouc (Lyonesse  #3),Jack Vance,1,426,1991,9678,34,13
100003195,Cursor's Fury (Codex Alera  #3),Jim Butcher,1,442,2006,9679,,16
100003196,The Rosetta Codex,Richard Paul Russo,1,384,2005,9680,,17
100003197,Fantastic Alice,Margaret Weis/Esther M. Friesner/Roger Zelazny/Bruce Holland Rogers/Robin Wayne Bailey/Janet Pack/Lawrence Schimel/Jody Lynn Nye/Janet Asimov/Lisa Mason/Jane Lindskold/Mickey Zucker Reichert/Lawrence Watt-Evans/Peter Crowther/Gary A. Braunbeck/Connie Hirsch/Tobin Larson/Kevin T. Stein,1,291,1995,9680,,7
100003198,Starship Troopers,Robert A. Heinlein,1,205,1997,9681,,6
100003199,Lincoln,Gore Vidal,9,354,2006,9682,770,12
100003200,Black on Red: My 44 Years Inside the Soviet Union: An Autobiography,Robert Robinson/Jonathan Slevin,1,436,1988,9683,368,15
100003201,Americana,Don DeLillo,1,454,1993,9684,,14
100003202,Timbuktu / Leviathan / Moon Palace,Paul Auster,3,1075,2002,9684,,36
100003203,Rob Roy,Walter Scott,1,537,2000,9685,259,24
100003204,Sun Tzu: The Art of War for Managers; 50 Strategic Rules,Sun Tzu/Gerald A. Michaelson,1,224,2001,9686,,6
100003205,Please Stop Laughing at Me... One Woman's Inspirational Story,Jodee Blanco,1,288,2003,9686,137,7
100003206,Absolute C++,Walter J. Savitch,1,943,2007,9687,168,21
100003207,The Firm,Robin Waterfield/John Grisham,1,76,2000,9688,,2
100003208,The Feynman Lectures on Physics  3 Vols,Richard P. Feynman/Robert B. Leighton/Matthew L. Sands,1,3,1989,9688,494,1
100003209,The Design and Implementation of the 4.3BSD UNIX Operating System,Samuel J. Leffler/Marshall Kirk McKusick/Michael J. Karels,1,471,1989,9688,774,11
100003210,The Feynman Lectures on Physics Vol 3,Richard P. Feynman/Robert B. Leighton/Matthew L. Sands,1,384,2005,9688,366,11
100003211,Data Structures and Algorithm Analysis in C++,Mark Allen Weiss,1,586,2006,9688,496,21
100003212,The Pragmatic Programmer: From Journeyman to Master,Andy Hunt/Dave Thomas,1,321,1999,9689,,8
100003213,The Mythical Man-Month: Essays on Software Engineering,Frederick P. Brooks Jr.,1,322,1995,9689,300,12
100003214,Algorithms in C  Parts 1-4: Fundamentals  Data Structures  Sorting  Searching,Robert Sedgewick,1,720,1997,9689,,22
100003215,Refactoring: Improving the Design of Existing Code,Martin Fowler/Kent Beck/Don Roberts/Erich Gamma,1,431,1999,9689,413,9
100003216,Cromartie High School  Vol. 06,Eiji Nonaka/Brendan Frayne,1,176,2006,9694,72,9
100003217,Cromartie High School  Vol. 05,Eiji Nonaka/Brendan Frayne,1,168,2006,9694,,5
100003218,Cromartie High School  Vol. 01,Eiji Nonaka/Brendan Frayne,1,158,2005,9694,518,5
100003219,Cromartie High School  Vol. 02,Eiji Nonaka/Brendan Frayne,1,161,2005,9694,936,5
100003220,Prétear  Vol. 4 (Prétear  #4),Junichi Satō/Kaori Naruse,1,180,2005,9694,790,7
100003221,Prétear  Vol. 3 (Prétear  #3),Junichi Satō/Kaori Naruse,1,172,2004,9694,,4
100003222,Prétear  Vol. 2 (Prétear  #2),Junichi Satō/Kaori Naruse,1,182,2004,9694,25,5
100003223,Gunslinger Girl  Vol. 1,Yu Aida/Hiroshi Aida,1,175,2003,9694,225,4
100003224,Your and My Secret  Vol. 1,Ai Morinaga,1,174,2004,9694,,4
100003225,Azumanga Daioh  Vol. 3 (Azumanga Daioh  #3),Kiyohiko Azuma/あずま きよひこ,1,166,2004,9694,,5
100003226,Zero Debt: The Ultimate Guide to Financial Freedom,Lynnette Khalfani,1,204,2004,9695,359,8
100003227,Tesla Papers,Nikola Tesla/David Hatcher Childress,1,100,2000,9696,,3
100003228,Invisible Residents: The Reality of Underwater UFOs,Ivan T. Sanderson/David Hatcher Childress,1,100,2005,9696,,4
100003229,From the Earth to the Moon (Extraordinary Voyages  #4),Jules Verne,1,136,2006,9697,331,4
100003230,The Invisible Man,H.G. Wells,1,178,1992,9698,703,5
100003231,A Framework for Understanding Poverty,Ruby K. Payne,1,199,2006,9699,335,5
100003232,Proof of Concept,Larry Young/Damian Couceiro/Kieron Dwyer,1,134,2005,9700,,4
